id_artista;nombre;ranking;descripcion
1;Dire Straits;1;"Dire Straits fue una banda de rock britanica formada en Londres en 1977 por Mark Knopfler, David Knopfler, John Illsley y Pick Withers, estando activos hasta el ano 1995. Dire Straits es uno de los artistas musicales mas vendidos del mundo, con ventas de albumes de mas de 100 millones.?Su primer sencillo, ""Sultans of Swing"", de su album debut homonimo de 1978, llego a los diez primeros en las listas de exitos del Reino Unido y los Estados Unidos. Le siguieron exitos como ""Romeo and Juliet"", ""Private Investigations"", ""Twisting by the Pool"", ""Money for Nothing"" y ""Walk of Life"".? Su album de mayor exito comercial, Brothers in Arms, ha vendido mas de 30 millones de copias; fue el primer album en vender un millon de copias en disco compacto?? y es el octavo album mas vendido en la historia del Reino Unido. Segun el Guinness Book of British Hit Albums, Dire Straits ha pasado mas de 1100 semanas en la lista de albumes del Reino Unido, la quinta mayor cantidad de todos los tiempos.?"
2;Eric Clapton;3;"Eric Patrick Clapton, mas conocido como Eric Clapton, es un guitarrista, cantante y compositor de rock y blues britanico, conocido por su magistral habilidad con la guitarra electrica, en concreto con su Stratocaster.? Apodado Slowhand, ? desde su epoca en The Yardbirds, y God en su epoca con Cream, es miembro del Salon de la Fama del Rock and Roll por partida triple: como miembro de The Yardbirds y de Cream y por su carrera como solista. En opinion de muchos criticos, ha sido uno de los artistas de la cultura de masas mas respetados e influyentes de todos los tiempos.? Aparece en el puesto numero 2 de la lista ""Los 100 guitarristas mas grandes de todos los tiempos"" de la revista Rolling Stone? y en el puesto numero 55 de su especial ""Inmortales: Los 100 artistas mas grandes de todos los tiempos"".? Ademas, en 2005 la revista Guitar World incluyo cinco de sus canciones entre los mejores solos de guitarra de todos los tiempos. Su estilo musical ha sufrido cambios diversos a lo largo de su carrera, pero sus raices siempre han estado profundamente ligadas con el blues. Es reconocido como un innovador en varias etapas de su carrera."
3;Amy Winehouse;4;Amy Jade Winehouse fue una cantante y compositora britanica, conocida por interpretar diversos generos musicales, entre los que destacan el jazz, el rhythm and blues, el soul, el ska. Asimismo, se la conoce por ser contralto, registro vocal que fue descrito como -acusticamente poderoso- y capaz de expresar -sus emociones profundamente-. En 2003 lanzo su album debut Frank, que fue un exito comercial en su pais natal, y llego a ser nominado a los Premios Mercury. Su segundo album de estudio, Back to Black, fue publicado en 2006. Por este disco la cantante consiguio seis nominaciones a los Premios Grammy, de las cuales gano cinco: Cancion del ano, Grabacion del ano y Mejor artista nueva, entre otras. Este hecho la condujo a igualar el record de galardones obtenidos en una noche por un artista (logrado antes por Lauryn Hill, Norah Jones, Alicia Keys y Beyonce), ademas de ser la primera artista britanica ganadora de cinco Grammys en una noche. La popularidad alcanzada acaparo la atencion de los medios, que comenzaron a interesarse e inmiscuirse en su agitada vida personal.???
4;Van Morrison;7;null
5;Mark Knopfler;2;Mark Freuder Knopfler es un musico de sesion, guitarrista, productor discografico, cantante y compositor escoces. Antes de su carrera como musico, trabajo de periodista y dio clases en la universidad. Principalmente conocido como fundador, guitarrista y cantante de la banda Dire Straits y su singular estilo con la guitarra sin pua, esta considerado como uno de los musicos mas importantes de la historia del rock. Tambien ha tocado en otras bandas, para otros artistas, ha participado en infinidad de discos de Phil Lynott, Solo in Soho y The Philip Lynott Album y ha realizado proyectos en solitario. Ademas, ha compuesto musica para varias peliculas, incluyendo Local Hero, Comfort and Joy, Cal, La princesa prometida, Last exit to Brooklyn, Wag the Dog, Metroland y A shot at glory, y para otros cantantes como Tina Turner, Private Dancer. Actualmente lleva una carrera en solitario, con un estilo un tanto diferente al que creo con Dire Straits, basado en un estilo propio, mezcla de diversas fuentes como el blues, el rock y el folk. La revista Rolling Stone lo situa en el puesto 44 de la lista de los 100 guitarristas mas grandes de todos los tiempos.?
6;Bruno Mars;5;null
7;Jack Broadbent;6;null
